Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.0207,-0.0497,-0.1511,0.0,0.0,-0.0471,-0.0539
-0.0197,-0.0497,-0.1511,0.0,0.0,-0.0471,-0.0539
-0.0197,-0.0497,-0.1539,0.0,0.0,-0.0471,-0.0539
-0.019,-0.0497,-0.1539,0.0,0.0,-0.0471,-0.0539
-0.0102,-0.0149,-0.083,0.0,0.0,-0.026,-0.0227
-0.0102,-0.0149,-0.083,0.0,0.0,-0.026,-0.0227
-0.0102,-0.0149,-0.083,0.0,0.0,-0.026,-0.0284
-0.0102,-0.0149,-0.083,0.0,0.0,-0.0286,-0.0284
-0.0102,-0.0149,-0.083,0.0,0.0,-0.0286,-0.0308
-0.0128,-0.0149,-0.083,0.0,0.0,-0.0286,-0.0308
-0.0128,-0.0149,-0.083,0.0,0.0,-0.0309,-0.0308
-0.0128,-0.0149,-0.083,0.0,0.0,-0.033,-0.0308
-0.0126,-0.0149,-0.083,0.0,0.0,-0.033,-0.0308
-0.0138,-0.0149,-0.083,0.0,0.0,-0.033,-0.0308
-0.0186,-0.0149,-0.083,0.0,0.0,-0.033,-0.0308
-0.0152,-0.0033,-0.0441,0.0,0.0,-0.01,-0.0085
-0.0152,-0.0033,-0.0441,0.0,0.0,-0.0141,-0.0085
-0.0152,-0.0033,-0.0441,0.0,0.0,-0.0206,-0.0085
-0.0151,-0.0033,-0.0441,0.0,0.0,-0.0206,-0.0085
-0.0149,-0.0033,-0.0441,0.0,0.0,-0.0206,-0.0085
-0.0149,-0.0033,-0.0441,0.0,0.0,-0.0233,-0.0085
-0.0145,-0.0033,-0.0441,0.0,0.0,-0.0233,-0.0085
-0.0142,-0.0033,-0.0441,0.0,0.0,-0.0233,-0.0085
-0.0165,-0.0033,-0.0441,0.0,0.0,-0.0233,-0.0085
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0233,-0.0085
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0262,-0.0085
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0262,-0.0071
-0.019,-0.0497,-0.1539,0.0,0.0,-0.0474,-0.0539
-0.019,-0.0497,-0.1564,0.0,0.0,-0.0474,-0.0539
-0.019,-0.0497,-0.1564,0.0,0.0,-0.0474,-0.0539
-0.0185,-0.0497,-0.1564,0.0,0.0,-0.0474,-0.0539
-0.0185,-0.0497,-0.1564,0.0,0.0,-0.0475,-0.0539
-0.0179,-0.0497,-0.1564,0.0,0.0,-0.0475,-0.0539
-0.0174,-0.0497,-0.1564,0.0,0.0,-0.0475,-0.0539
-0.017,-0.0497,-0.1564,0.0,0.0,-0.0475,-0.0539
-0.019,-0.0497,-0.1564,0.0,0.0,-0.0475,-0.0539
-0.0184,-0.0497,-0.1564,0.0,0.0,-0.0475,-0.0539
-0.0184,-0.0497,-0.1564,0.0,0.0,-0.0481,-0.0539
-0.0177,-0.0497,-0.1564,0.0,0.0,-0.0481,-0.0539
-0.0198,-0.0497,-0.1564,0.0,0.0,-0.0481,-0.0539
-0.0198,-0.0497,-0.1564,0.0,0.0,-0.0481,-0.0539
-0.0192,-0.0497,-0.1564,0.0,0.0,-0.0481,-0.0539
-0.0192,-0.0497,-0.1564,0.0,0.0,-0.0483,-0.0539
-0.0192,-0.0559,-0.1564,0.0,0.0,-0.0483,-0.0539
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0262,-0.0116
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0286,-0.0116
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0286,-0.0185
-0.0186,-0.0033,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0186,-0.0095,-0.0441,0.0,0.0,-0.0311,-0.0185
